"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2156.869,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2271.496,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2426.479,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2546.119,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2745.832,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2842.132,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",3023.279,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3196.405,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3310.171,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3564.306,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3607.461,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3794.087,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3807.682,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4185.822,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4288.764,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4492.554,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4708.09,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2701.978,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2760.754,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",2929.164,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3065.31,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3246.255,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3340.908,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3551.471,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3710.828,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",3955.892,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4128.268,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4237.729,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4383.705,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4683.545,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4860.986,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",5000.622,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",5100.015,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5227.321,"E"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2221.135,
